project,district,marketSegment,startYear,cleanTenure
LE HILL CONDOMINIUM,5,RCR,1000,1000
LOFT @ STEVENS,10,CCR,1000,1000
LOYANG GARDENS,17,OCR,1885,999
MARINE GARDEN,15,OCR,1000,1000
MARTIA RESIDENCE,15,OCR,1000,1000
MOULMEIN COURT,11,CCR,1000,1000
NEW SOO CHOW GARDENS,20,RCR,1000,1000
ONE AKYAB,11,CCR,1000,1000
ONE ROBIN,10,CCR,1000,1000
ORCHID APARTMENTS,11,CCR,1000,1000
PARC HAVEN,12,RCR,1000,1000
PARK PLACE RESIDENCES AT PLQ,14,RCR,2015,99
PEACH GARDEN,15,RCR,1000,1000
PEAKVILLE PARK,16,OCR,1000,1000
PINETREE CONDOMINIUM,10,CCR,1000,1000
SERAYA VILLE,15,RCR,1000,1000
SERENE VIEW MANSIONS,13,OCR,1000,1000
SIGNATURE CREST,15,RCR,1000,1000
SOMMERVILLE REGENCY,13,OCR,1000,1000
ST PATRICK'S LOFT,15,OCR,1000,1000
STADIA,19,OCR,1000,1000
STEVENS LOFT,10,CCR,1000,1000
STURDEE VIEW,8,RCR,1000,1000
TEMBELING COURT,15,RCR,1000,1000
THE CHERRYWOOD,15,OCR,1000,1000
THE EDGEWATER,17,OCR,1000,1000
THE FERNHILL,10,CCR,1000,1000
THE GALE,17,OCR,1000,1000
THE LANAI,23,OCR,1885,999
THE LATTIZ,14,OCR,1000,1000
THE MORNING DEW,28,OCR,1879,999
THE RED HOUSE,15,RCR,2012,99
THE RESIDENCES AT BARKER,11,CCR,1000,1000
THE SERENNO,15,RCR,1000,1000
THE SILVA GARDENS,19,OCR,1000,1000
THOMSON IMPERIAL COURT,20,RCR,1000,1000
TOH TUCK GARDEN,21,RCR,1000,1000
TOP TEN,9,CCR,1000,1000
TOWNHOUSE APARTMENTS,9,CCR,1977,99
TWO8ONE STUDIO,9,CCR,1841,999
TYRWHITT 139,8,RCR,1000,1000
VILLA DES FLORES,11,CCR,1000,1000
WORTHINGTON,15,RCR,1000,1000
3@SANDILANDS,19,OCR,1886,999
AQUENE,15,OCR,1000,1000
ARTRA,3,RCR,2016,99
BALMORAL HILLS,10,CCR,1000,1000
BALMORAL RESIDENCES,10,CCR,1000,1000
BINJAI PARK,21,RCR,1000,1000
BOTANIKA,10,CCR,1000,1000
BUCKLEY CLASSIQUE,11,CCR,1000,1000
CANBERLIN APARTMENTS,14,RCR,1000,1000
CITY SUITES,12,RCR,1000,1000
CRESCENDO BUILDING,15,OCR,1000,1000
DOMUS,12,RCR,1000,1000
DORMER PARK,10,CCR,1000,1000
ELITE RESIDENCES,15,OCR,1000,1000
ELIZABETH TOWER,9,CCR,1000,1000
ESPIRA SPRING,15,OCR,1000,1000
ESPIRA SUITES,15,OCR,1000,1000
ESTIQUE,15,RCR,1000,1000
EUNOS PARK,14,OCR,1000,1000
EWART PARK,10,CCR,1000,1000
FIFTY-TWO STEVENS,10,CCR,1000,1000
FORTUNE SPRING,15,OCR,1000,1000
GAO MING HUA YUAN,21,RCR,1000,1000
GEYLANG MANSION,14,RCR,1000,1000
GRYPHON TERRACE,5,RCR,1000,1000
GUAN SOON TERRACE,16,OCR,1000,1000
HARBOUR SUITES,4,RCR,1000,1000
HAUS@SERANGOON GARDEN,19,OCR,2011,99
HOLLAND SUITES,10,CCR,1000,1000
INOVA 100,15,OCR,1000,1000
KOVAN PRIMERA,19,OCR,1000,1000
LA BRISA,14,RCR,1000,1000
LA QUINTA PARK,19,OCR,1877,999
LA SALLE VILLAS,15,OCR,1000,1000
LA VIDA @ 130,15,OCR,1000,1000
LE REGAL,14,RCR,1000,1000
LE WOOD,21,OCR,1999,99
MADISON RESIDENCES,10,CCR,1000,1000
MILL POINT,10,CCR,1877,999
MONT TIMAH,21,OCR,2004,99
NINE RESIDENCES,27,OCR,2013,99
PARC ELEGANCE,15,OCR,1000,1000
PARC STEVENS,10,CCR,1000,1000
SAM LEONG MANSION,8,RCR,1000,1000
SARINA TERRACE,14,OCR,1000,1000
SCK VILLE,15,RCR,1000,1000
SEASIDE RESIDENCES,15,OCR,2016,99
SENG YONG VILLAS,14,OCR,1000,1000
SPACE @ KOVAN,19,OCR,1000,1000
STUDIOS @ MARNE,8,RCR,1000,1000
SUITES @ EASTCOAST,15,OCR,1000,1000
SUN ROSIER,19,OCR,1000,1000
SUNBIRD VIEW,16,OCR,1000,1000
SUNCOTTAGES,23,OCR,1883,999
TAIPAN GRAND,15,OCR,1000,1000
TEMBELING RESIDENCE,15,RCR,1000,1000
THE AXIS,11,CCR,1000,1000
THE BROOKS I & II,26,OCR,1000,1000
THE FLORENTINE,19,OCR,1934,947
THE MARQ ON PATERSON HILL,9,CCR,1000,1000
THE SPECTRUM,5,RCR,1000,1000
UNIQUE GARDEN,21,RCR,1000,1000
UNIVERSITY PARK,11,CCR,1994,99
VICTORY VILLE,17,OCR,1000,1000
WEST POINT PEARL GARDEN,5,OCR,1000,1000
WILKIE 87,9,CCR,1000,1000
10 SHELFORD,11,CCR,1000,1000
3BHC,20,RCR,1000,1000
AMPAS APARTMENTS,12,RCR,1000,1000
BALESTIER POINT,12,RCR,1000,1000
CAMELLIA LODGE,14,RCR,1000,1000
CENTRA LOFT,14,RCR,1000,1000
CENTRINA,15,RCR,1000,1000
CENTRO MANSIONS,14,RCR,1000,1000
CHESTNUT VILLE,23,OCR,1882,999
CHUAN VALE,19,OCR,2001,99
CLEMENTI GREEN,21,RCR,1000,1000
CORONA VILLE,10,CCR,1000,1000
COSMO,14,RCR,1000,1000
CRYSTAL MANSIONS,14,RCR,1000,1000
D'GROVE VILLAS,10,CCR,1000,1000
DEVONSHIRE RESIDENCES,9,CCR,1000,1000
ENG AUN MANSION,11,CCR,1000,1000
EVERGREEN GARDEN,16,OCR,1000,1000
EVERGREEN VIEW,14,RCR,1000,1000
FRASER RESIDENCE ORCHARD SINGAPORE,9,CCR,1000,1000
GOH & GOH BUILDING,21,RCR,1000,1000
GOLDENHILL VILLAS,19,OCR,1000,1000
HILLVIEW PARK,23,OCR,1000,1000
HOLLAND HILL PARK,10,CCR,1000,1000
HUA YU MANSION,14,OCR,1000,1000
INFINIUM,19,OCR,1000,1000
IVORY,15,RCR,1000,1000
JALAN BESAR PLAZA,8,RCR,1000,1000
JERVOIS VIEW,10,CCR,1000,1000
KEMBANGAN SUITES,14,OCR,1000,1000
KISMIS RESIDENCES,21,RCR,1000,1000
LEIGHWOODS,10,CCR,1000,1000
MALAYSIA PARK,14,OCR,1000,1000
MARSHALL LODGE,15,RCR,1000,1000
MERA TERRACE,16,OCR,1000,1000
MOUNT FABER LODGE,4,RCR,1000,1000
MOUNTBATTEN SUITES,15,RCR,1000,1000
NASSIM JADE,10,CCR,1000,1000
NOVA 88,12,RCR,1000,1000
ONE TREE HILL GARDENS,10,CCR,1000,1000
PAYA LEBAR RESIDENCES,14,RCR,1000,1000
PEPYS HILL CONDOMINIUM,5,RCR,1000,1000
PROSPERO VILLE,15,OCR,1000,1000
QUEENSBERRY LODGE,10,CCR,1000,1000
REGAL 35,14,RCR,1000,1000
RIVERSHIRE,9,CCR,1000,1000
ROBERTSON BLUE,9,CCR,1000,1000
ROSYTH VILLE,19,OCR,1886,999
ROYALVILLE,10,CCR,1000,1000
SAM KIANG MANSIONS,9,CCR,1000,1000
SEVEN HOLT ROAD,10,CCR,1000,1000
SKY GREEN,13,RCR,1000,1000
SOLARIS RESIDENCES,19,OCR,1000,1000
STILLZ RESIDENCE,15,RCR,1000,1000
SUNNY GROVE,14,RCR,1000,1000
TAI HWAN PARK,19,OCR,1000,1000
THE GRANGE,10,CCR,1000,1000
THE HACIENDA,15,OCR,1000,1000
THE HORIZON,10,CCR,1000,1000
THE MONDRIAN,21,OCR,1884,999
TIVOLI LODGE,14,RCR,1000,1000
TOH TUCK HILL,21,RCR,1000,1000
UBER 388,16,OCR,1000,1000
VENTUNO BALMORAL,10,CCR,1000,1000
WATERCOVE,27,OCR,1000,1000
WHITLEY VILLAS,11,CCR,1000,1000
28 RC SUITES,8,RCR,1000,1000
AFFLUENCE COURT,19,OCR,1000,1000
AIRVIEW PARK,21,RCR,1000,1000
ASIA GARDENS,2,RCR,1000,1000
BEDOK PESARI,16,OCR,1000,1000
BOONVIEW,20,RCR,1000,1000
CAIRNHILL ASTORIA,9,CCR,1000,1000
CASA FIDELIO,15,OCR,1000,1000
CENTRA RESIDENCE,14,RCR,1000,1000
CENTURION RESIDENCES,13,RCR,1000,1000
CHEPSTOW VILLE,19,OCR,1953,999
CITY STUDIOS,8,RCR,1000,1000
DUKE'S GARDEN,10,CCR,1875,999
E7 LODGE,14,OCR,1000,1000
EAST ELEGANCE,15,RCR,1000,1000
EBONY MANSIONS,15,OCR,1000,1000
ESTILO,9,CCR,1000,1000
EURO-ASIA COURT,9,CCR,1000,1000
FUYUEN COURT,14,RCR,1000,1000
GALAXY TOWERS,15,RCR,1000,1000
GARDENVILLE,10,CCR,1000,1000
GERALD RESIDENCE,28,OCR,1879,999
GREENBANK PARK,21,RCR,1000,1000
HIGHGATE PARK,21,RCR,1000,1000
HOLLAND COURT,10,CCR,1000,1000
LA BELLE,19,OCR,1000,1000
LAUW & SONS GARDEN,20,RCR,1000,1000
LEONIE HILL RESIDENCES,9,CCR,1000,1000
LLYN GARDENS,19,OCR,1000,1000
MABELLE,15,OCR,1000,1000
MACKENZIE 138,9,CCR,1000,1000
MAR THOMA MANSIONS,12,RCR,1882,999
MAYA,15,RCR,1000,1000
MAYFLOWER GARDENS,20,OCR,1000,1000
MEYER MELODIA,15,RCR,1000,1000
MICHAELS' RESIDENCES,23,OCR,2012,99
PARK 1 SUITES,14,RCR,1000,1000
PASIR PANJANG COURT,5,RCR,1000,1000
PEAKVIEW ESTATE,16,OCR,1000,1000
QUEEN ASTRID PARK,10,CCR,1876,999
RICH EAST GARDEN,16,OCR,1000,1000
SANDILANDS RESIDENCES,19,OCR,1886,999
SANDY PALM,17,OCR,1996,99
SHANGHAI ONE,10,CCR,1000,1000
SIMS DORADO,14,RCR,1000,1000
SOMMERVILLE GRANDEUR,10,CCR,1000,1000
THE CHAMPAGNE,14,OCR,1000,1000
THE CLEMENTVALE,5,OCR,1997,99
THE DOMAIN,15,OCR,1000,1000
THE ESTIVA,5,RCR,1000,1000
THE MORRIS RESIDENCES,19,OCR,1000,1000
TIVOLI GARDENS,19,OCR,1996,99
URBAN VISTA,16,OCR,2012,99
VANADIUM,8,RCR,1000,1000
VIBES@UPPER SERANGOON,19,OCR,1000,1000
VITRA,15,RCR,1000,1000
BALMY COURT,14,RCR,1000,1000
BAROSSA GARDENS,5,RCR,1000,1000
BELLA CASITA,15,RCR,1000,1000
BRIGHT GARDEN,15,OCR,1000,1000
CACTUS GREEN,28,OCR,1000,1000
CASA FELIZ,15,RCR,1000,1000
CLASSICAL TERRACE,19,OCR,1993,99
CORONATION SHOPPING PLAZA,10,CCR,1000,1000
D'FOCUS APARTMENTS,15,RCR,1000,1000
DUNMAN PLACE,15,RCR,1000,1000
EWE BOON REGENT,10,CCR,1000,1000
FORTUNE VIEW,13,OCR,1000,1000
GLAMOUR VILLE,15,OCR,1000,1000
GOLDEN MILE COMPLEX,7,CCR,1969,99
GRACE GARDEN,15,OCR,1000,1000
GREENWOOD VILLAS,11,CCR,1000,1000
HOLLAND TOWER,10,CCR,1000,1000
HOW SUN PARK,19,OCR,1000,1000
HUNDRED PALMS RESIDENCES,19,OCR,2016,99
KATONG OMEGA APARTMENTS,15,OCR,1000,1000
LLOYD SIXTYFIVE,9,CCR,1000,1000
LOTUS AT PASIR PANJANG,5,RCR,1000,1000
M5,10,CCR,1000,1000
MARTIN MODERN,9,CCR,2016,99
MELODY VILLAS,26,OCR,1000,1000
MIMOSA GARDENS,28,OCR,1000,1000
MOONSTONE ROYALE,12,RCR,1000,1000
PALM GROVE REGENCY,19,OCR,1878,999
PARK HOUSE,10,CCR,1000,1000
RIVER VALLEY COURT,9,CCR,1000,1000
ROBIN REGALIA,10,CCR,1000,1000
ROSE COURT,15,RCR,1000,1000
ROYAL COURT,21,RCR,1000,1000
SEMBAWANG COTTAGE,27,OCR,1000,1000
SHELFORD VIEW,11,CCR,1000,1000
SOUTH UNION PARK,15,OCR,1000,1000
STUDIO8,14,RCR,1000,1000
SUMMIT VILLE,23,OCR,1885,999
SUNFLOWER VIEW,14,RCR,1000,1000
THE ALBRACCA,15,RCR,1000,1000
THE AZZURO,15,OCR,1000,1000
THE LUSH,15,RCR,1000,1000
THE ORANGE GROVE,10,CCR,1000,1000
THE TAIPAN,16,OCR,1000,1000
THE VIEW @ MEYER,15,RCR,1000,1000
THOMSON PARK,20,RCR,1000,1000
THOMSON PLAZA,20,RCR,1976,99
THOMSON VALE,11,CCR,1000,1000
TREESCAPE,15,OCR,1000,1000
VILLA CHANCERY,11,CCR,1000,1000
WOODLANDS PARK,25,OCR,1000,1000
24 ONE RESIDENCES,5,RCR,1000,1000
3@PHILLIPS,19,OCR,1886,999
ARC AT TAMPINES,18,OCR,2011,99
ASTRIDVILLE,10,CCR,1000,1000
BUONA VISTA GARDENS,5,RCR,1000,1000
CALDECOTT HILL ESTATE,11,CCR,1000,1000
CASA FLORA,16,OCR,1000,1000
CASERO @ DUNMAN,15,RCR,1000,1000
CHANCERY ESQUIRE,11,CCR,1000,1000
CHAPEL COURT,15,RCR,1000,1000
CHIP HOCK GARDENS,10,CCR,1000,1000
COUNTRY ESQUIRE,20,RCR,1000,1000
CRANE COURT,15,RCR,1000,1000
CRYSTAL DE AZURE,19,OCR,1000,1000
D'EVELYN,11,CCR,1000,1000
DRAGON VIEW PARK,10,CCR,1000,1000
DUCHESS MANOR,10,CCR,1875,999
EAST VIEW,15,RCR,1000,1000
FARRER PARK SUITES,8,RCR,1000,1000
FLORENCE VILLE,19,OCR,1000,1000
GARDEN VIEW ESTATE,19,OCR,1000,1000
GEYLANG HERITAGE,14,RCR,1000,1000
HARMONY @ 1A,19,OCR,1000,1000
IDYLLIC SUITES,14,RCR,1000,1000
J COURT,15,OCR,1000,1000
J GATEWAY,22,OCR,2012,99
JANSEN MANSIONS,19,OCR,1876,999
KATONG APARTMENTS,15,RCR,1000,1000
KHEAM HOCK GARDENS,11,CCR,1000,1000
LE QUEST,23,OCR,2016,99
LE SHANTIER,12,RCR,1000,1000
LEVILLE ISUITES,15,RCR,1000,1000
LUSH ACRES,28,OCR,2013,99
LUXE VILLE,5,RCR,1000,1000
MCMAHON PARK,10,CCR,1877,999
MERA EAST,14,OCR,1000,1000
NORTHILL,25,OCR,1000,1000
ONE ROSYTH,19,OCR,1886,999
OPAL SUITES,12,RCR,1000,1000
PALM RESIDENCE,21,RCR,1000,1000
PARC MACKENZIE,9,CCR,1000,1000
RACE COURSE RD/OWEN RD CON AREA,8,RCR,1000,1000
REGENCY SUITES,3,RCR,1000,1000
REIGNWOOD HAMILTON SCOTTS,9,CCR,1000,1000
RIA TOWNHOUSES,16,OCR,1000,1000
RICH MANSIONS,10,CCR,1000,1000
RIVAGE,15,RCR,1000,1000
SANDY EIGHT,15,RCR,1000,1000
SCENIC HEIGHTS,12,RCR,1000,1000
SEA BREEZE TERRACE,16,OCR,1000,1000
SELETAR GARDEN,28,OCR,1000,1000
SERAYA COURT,15,RCR,1000,1000
SETIA RESIDENCES,11,CCR,1000,1000
SKYLINE 360 @ SAINT THOMAS WALK,9,CCR,1000,1000
SKYPARK,9,CCR,1000,1000
STEVEN'S COURT,10,CCR,1000,1000
STRAITS RESIDENCES,15,RCR,1000,1000
THE MKZ,9,CCR,1000,1000
THE PROMONT,9,CCR,1000,1000
TOHO GREEN,19,OCR,1978,99
TORIEVIEW MANSIONS,14,RCR,1000,1000
TORIEVILLE,14,RCR,1000,1000
VINA LODGE,19,OCR,1000,1000
8 NAPIER,10,CCR,1000,1000
BAYOU RESIDENCE,19,OCR,1000,1000
BEAUTY WORLD CENTRE,21,RCR,1979,99
BLOSSOM VIEW,14,RCR,1000,1000
BUCKLEY RESIDENCE,11,CCR,1000,1000
CASA EMERALD,14,RCR,1000,1000
D'SAVILLE,15,OCR,1000,1000
D-MANSIONS,15,RCR,1000,1000
EAST PALM,15,OCR,1000,1000
EASTERN GROVE,16,OCR,1878,999
ESPIRA RESIDENCE,15,OCR,1000,1000
FERNHILL COTTAGE,10,CCR,1000,1000
GILSTEAD 38,11,CCR,1000,1000
GOLDLEAF GARDENS,15,OCR,1000,1000
GREEN PARK,16,OCR,1878,999
JERVOIS GARDENS,10,CCR,1000,1000
KANDIS RESIDENCE,27,OCR,2016,99
KILAT 19,21,RCR,1000,1000
LE MERRITT,15,OCR,1000,1000
MINT RESIDENCES @ JANSEN,19,OCR,1878,999
MOUNT ROSIE GARDEN,11,CCR,1000,1000
NANAK MANSIONS,15,RCR,1000,1000
ORCHID VILLAGE,11,CCR,1000,1000
PLACE-8,19,OCR,1000,1000
RADIX,15,OCR,1000,1000
RIO GARDENS,12,RCR,1000,1000
RV POINT,9,CCR,1841,999
SELEGIE CENTRE,7,RCR,1000,1000
SELETAR PARK,28,OCR,1879,999
SENTOSA COVE,4,CCR,2006,99
ST MICHAEL'S CONDOMINIUM,12,RCR,1000,1000
SUITES @ AMBER,15,RCR,1000,1000
SURIN VILLAS,19,OCR,1000,1000
THE ARIZON,14,RCR,1000,1000
THE ASTERIA,15,OCR,1000,1000
THE FOLIAGE,5,RCR,1000,1000
THE HILLOFT,23,OCR,1885,999
THE MONTANA,10,CCR,1000,1000
THE PEAK,5,RCR,1000,1000
UP@ROBERTSON QUAY,9,CCR,2011,99
WHARTON VALE,9,CCR,1000,1000
ZEDGE,11,CCR,1000,1000
57 @ KOVAN,19,OCR,1000,1000
BLAIR PLAIN CONSERVATION AREA,2,RCR,1000,1000
BOON SING BUILDING,7,CCR,1835,999
BREEZY MANSIONS,19,OCR,1886,999
BUONA LODGE,5,RCR,1000,1000
CANARY PARK,16,OCR,1000,1000
CHANCERY HILL VILLAS,11,CCR,1000,1000
CHANGI GARDEN,17,OCR,1000,1000
CRYSTAL COURT,10,CCR,1000,1000
D'GALLERY,14,OCR,1000,1000
DUNEARN COURT,11,CCR,1000,1000
EAST GROVE,15,OCR,1000,1000
GOODLINK PARK,27,OCR,1000,1000
GRAND RESIDENCE,15,OCR,1000,1000
HUA MEI GARDENS,23,OCR,1000,1000
JERVOIS MEADOWS,10,CCR,1000,1000
JOO CHIAT MANSIONS,15,RCR,1000,1000
KEW GROVE,16,OCR,1000,1000
LEGEND @ JANSEN,19,OCR,1876,999
LODGE 77,15,OCR,1000,1000
MELROSE VILLE,15,RCR,1000,1000
MILL CREEK,14,OCR,1000,1000
MUN WAH GARDEN,26,OCR,1000,1000
ORCHARD VIEW,9,CCR,1000,1000
PRINCESS OF WALES PARK,10,CCR,1000,1000
RICHARD'S PARK,19,OCR,1000,1000
RICHMOND VILLE,16,OCR,1000,1000
ROMAN TERRACE,15,OCR,1000,1000
ROSE VILLE,15,RCR,1000,1000
SCULPTURA ARDMORE,10,CCR,1000,1000
SEMBAWANG SQUARE ESTATE,27,OCR,1000,1000
SEVEN OAKS,10,CCR,1000,1000
SIMON PLAZA,19,OCR,1000,1000
SPRING PARK ESTATE,16,OCR,1000,1000
STRATTON PARK,28,OCR,1000,1000
TAI PENG GARDENS,19,OCR,1000,1000
TELOK KURAU LODGE,15,OCR,1000,1000
THE AMSTON,23,OCR,1885,999
THE NAVIAN,14,OCR,1000,1000
THE RICHMOND,12,RCR,1000,1000
THE SCOTTS TOWER,9,CCR,2010,103
THE TWINS,10,CCR,1000,1000
THE VILLAS @ SENTOSA COVE,4,CCR,2005,99
THOMSON RISE ESTATE,20,RCR,1000,1000
TORIE MANSIONS,15,RCR,1000,1000
URBAN VILLAS,19,OCR,1000,1000
VETRO,12,RCR,1882,999
WASHINGTONIA VILLA,28,OCR,1000,1000
70@TRURO,8,RCR,1000,1000
91 MARSHALL,15,RCR,1000,1000
BALMORAL POINT,10,CCR,1000,1000
BARKER TERRACES,11,CCR,1000,1000
BOON COURT,15,RCR,1000,1000
CADENCE LIGHT,15,OCR,1000,1000
CARPMAEL THIRTY-EIGHT,15,RCR,1000,1000
CORONATION GROVE,10,CCR,1875,999
CRYSTAL TOWER,10,CCR,1000,1000
D'ZIRE,19,OCR,1875,999
DUBLIN LODGE,9,CCR,1000,1000
EXCELLENCE MANSIONS,14,RCR,1000,1000
FAME COURT,15,OCR,1000,1000
GOODWOOD GARDENS,10,CCR,1000,1000
GRAND REGENCY,21,RCR,1000,1000
HAIG TEN,15,RCR,1000,1000
HIGHLAND CENTRE,19,OCR,1000,1000
JERSEY LODGE,15,OCR,1000,1000
KENSINGTON SQUARE,19,OCR,1000,1000
LE ARC,14,RCR,1000,1000
LEITH GROVE,19,OCR,1000,1000
LIBERTE,10,CCR,1000,1000
LUSHAN GARDEN,19,OCR,1000,1000
MAYFAIR RESIDENCES,15,OCR,1000,1000
MIMOSA VALE,28,OCR,1878,999
NORTHSHORE BUNGALOWS,19,OCR,1000,1000
PARADISE ISLAND,4,CCR,2005,99
PARC BOTANNIA,28,OCR,2016,99
REZI 35,14,RCR,1000,1000
ROXY SQUARE,15,RCR,1995,9999
SALLIM LODGE,14,RCR,1000,1000
SIMEI GARDEN,16,OCR,1000,1000
SKT MANSIONS,14,RCR,1000,1000
SOMMERVILLE LOFT,13,OCR,1000,1000
SUI GENERIS,10,CCR,1000,1000
SUMMER SCENT,19,OCR,1883,999
SUNNY PARC,15,OCR,1000,1000
TAI WAH BUILDING,9,CCR,1000,1000
THE ARMADALE,11,CCR,1000,1000
THE BEACON EDGE,15,RCR,1000,1000
THE CITRON RESIDENCES,8,RCR,1000,1000
THE EASTSIDE,15,RCR,1000,1000
THE LEGACY,10,CCR,1000,1000
THE MIDAS,14,RCR,1000,1000
THE SANCTUARY @ GEYLANG,14,RCR,1000,1000
TRANQUILIA @ KISMIS,21,RCR,1000,1000
TREASURE LOFT,11,CCR,1000,1000
TROPICANA CONDOMINIUM,16,OCR,1885,999
ZEPHYR PARK,16,OCR,1000,1000
8 RAJA,12,RCR,1000,1000
APARTMENT 8,13,RCR,1000,1000
BELYSA,18,OCR,2011,99
BLOSSOM GARDENS,19,OCR,1000,1000
CHARISMA VIEW,21,RCR,1000,1000
CHUAN VILLE,19,OCR,2001,99
CHUAN VISTA II,19,OCR,1997,99
DERBYSHIRE HEIGHTS,11,CCR,1000,1000
DUCHESS GARDEN,10,CCR,1875,999
DYNASTY LODGE,10,CCR,1000,1000
EN FU MANSIONS,14,RCR,1000,1000
GOLDEN CHUAN VILLE,19,OCR,1000,1000
HERTFORD COLLECTION,8,RCR,1000,1000
HILLSIDE MANSIONS,19,OCR,1000,1000
IDYLLIC EAST,16,OCR,1000,1000
ISLAND GARDENS,20,RCR,1000,1000
JADE VINE GARDENS,19,OCR,1883,999
JERVOIS GREEN,10,CCR,1000,1000
LA DOLCE VITA,19,OCR,1000,1000
LE WILKIE,9,CCR,1000,1000
LIIV RESIDENCES,5,RCR,1000,1000
NEWTON IMPERIAL,11,CCR,1000,1000
OXLEY EDGE,9,CCR,1000,1000
PARKWAY MANSION,15,RCR,1000,1000
PEPPERMINT GROVE,11,CCR,1000,1000
R66 APARTMENTS,8,RCR,1000,1000
RESIDENCE 66,15,OCR,1000,1000
ROSYTH LODGE,19,OCR,1886,999
ROSYTH RESIDENCE,19,OCR,1886,999
SERANGOON GARDEN VIEW,19,OCR,1879,999
SUNSHINE LOFT,15,OCR,1000,1000
TERESA 8,4,RCR,1000,1000
THE CENTREPOINT,9,CCR,1979,99
THE DIAMOND,14,RCR,1000,1000
THE ODEON KATONG,15,RCR,1000,1000
THE VANDERLINT,15,RCR,1000,1000
WILKIE 48,9,CCR,1000,1000
448@EAST COAST,15,OCR,1000,1000
8 BASSEIN,11,CCR,1000,1000
BEECHWOOD TERRACE,25,OCR,1995,99
BOURNEMOUTH EIGHT,15,RCR,1000,1000
CANTIZ @ RAMBAI,15,RCR,1000,1000
CASA MEYA,13,RCR,1000,1000
CASTLE LOFT,15,OCR,1000,1000
DAISY PETALS,13,OCR,1000,1000
DENG FU VILLE,14,OCR,1000,1000
DONG XING COURT,15,OCR,1000,1000
DUCHESS ROYALE,10,CCR,1875,999
EDENZ SUITES,14,RCR,1000,1000
EMILY RESIDENCE,9,CCR,1000,1000
FRAGRANCE COURT,5,RCR,1000,1000
GARDEN PARK RESIDENCES,15,OCR,1000,1000
HERITAGE RESIDENCES,15,OCR,1000,1000
HIGH STREET CENTRE,6,CCR,1969,99
HOMES AT EASTWOOD PLACE,16,OCR,1995,99
INGGU 6,27,OCR,2011,99
ISLAND PARK,20,RCR,1000,1000
JOO CHIAT APARTMENT,15,RCR,1000,1000
LA MEYER,15,RCR,1000,1000
MARTIN EDGE,9,CCR,1000,1000
MIDTOWN RESIDENCES,19,OCR,2013,99
MONVILLE MANSIONS,12,RCR,1000,1000
NEW COURT,12,RCR,1000,1000
NEW FUTURA,9,CCR,1000,1000
ONE NORTH BRIDGE,6,CCR,1969,99
PRESTIGE RESIDENCE,15,OCR,1000,1000
SEMBAWANG PARK,27,OCR,1000,1000
SPRINGLEAF VILLAS,26,OCR,1000,1000
SPRINGVALE,15,OCR,1000,1000
THE OXLEY,9,CCR,1000,1000
THE WILSHIRE,10,CCR,1000,1000
THREE 11,20,RCR,1000,1000
URBAN RESORT CONDOMINIUM,9,CCR,1000,1000
WEST-N,5,RCR,1000,1000
BALESTIER 288,12,RCR,1000,1000
BEAUFORT ON NASSIM,10,CCR,1000,1000
BENG TONG MANSION,15,RCR,1000,1000
BOON TECK APARTMENTS,12,RCR,1000,1000
CAIRNHILL MANSIONS,9,CCR,1000,1000
D'CAMBRIDGE,8,RCR,1000,1000
D'MIRA,12,RCR,1000,1000
DUCHESS PLACE,10,CCR,1875,999
DYSON RITZ,11,CCR,1000,1000
EASTCOVE RESIDENCES,15,OCR,1000,1000
EASTREES,15,OCR,1000,1000
FENARA COURT,15,OCR,1000,1000
FERNWOOD TERRACES,15,OCR,1000,1000
FIVENINE,15,OCR,1000,1000
GAMBIR RIDGE,19,OCR,1000,1000
HAI SING PARK,19,OCR,1876,999
HOLLAND HILL LODGE,10,CCR,1000,1000
KOVANA,19,OCR,1000,1000
MIMOSA VILLAS,28,OCR,1878,999
NIM COLLECTION,28,OCR,2016,99
PARKSUITES,10,CCR,2017,110
RE CHARGE @ 303,9,CCR,1841,999
SIMS POINT,14,RCR,1000,1000
SUMMER VIEW,14,RCR,1000,1000
SUNFLOWER LODGE,14,RCR,1000,1000
THE BROOKS I,26,OCR,1000,1000
THE COURTYARD,19,OCR,1000,1000
WATERCOLOURS,18,OCR,2012,99
336 RIVER VALLEY,9,CCR,1000,1000
8 HULLET,9,CCR,1000,1000
BIN TONG PARK,10,CCR,1000,1000
CAIRNHILL HEIGHTS,9,CCR,1000,1000
CASCATA,14,OCR,1000,1000
CITYVALE,9,CCR,1000,1000
DAISY PARK,13,OCR,1000,1000
EALINE PARK,5,RCR,1000,1000
EAST GALLERIA,15,RCR,1000,1000
EDEN VIEW,19,OCR,1000,1000
GUAN SOON VILLAS,16,OCR,1000,1000
HEJI GARDENS,15,OCR,1000,1000
HENLEY GARDENS,19,OCR,1996,99
HOOVER PARK,21,RCR,1000,1000
KJ MANSION,19,OCR,1886,999
KOVAN 81,19,OCR,1878,999
LOTUS AT JERVOIS,10,CCR,1000,1000
MAKEWAY VIEW,9,CCR,1000,1000
ONEROBEY,19,OCR,1875,999
PALM GROVE TERRACE,19,OCR,1878,999
PARC REGENCY,5,RCR,1000,1000
PUBLIC MANSION,12,RCR,1000,1000
REGINA HILL,21,RCR,1000,1000
SHAN GATE APARTMENTS,12,RCR,1000,1000
SPRING GARDENS,15,RCR,1000,1000
