project,district,marketSegment,startYear,cleanTenure
THE TRILINQ,5,OCR,2012,99
THE TROPICA,18,OCR,1996,99
THE TRUMPS,14,OCR,2000,99
THE VALES,19,OCR,2014,99
THE VENUE RESIDENCES,13,RCR,2012,99
THE VUE,19,OCR,1000,1000
THE WARREN,23,OCR,2001,99
THE WATER EDGE,14,RCR,1000,1000
THE WATERSIDE,15,RCR,1000,1000
THE WISTERIA,27,OCR,2015,99
THOMSON EURO-ASIA,11,CCR,1000,1000
THOMSON GARDEN ESTATE,20,RCR,1000,1000
THOMSON HILLS ESTATE,20,OCR,1000,1000
THOMSON IMPRESSIONS,20,RCR,2015,99
THREE THREE ROBIN,10,CCR,1000,1000
TREASURES@G6,14,RCR,1000,1000
TREVISTA,12,RCR,2008,99
TRIBECA,9,CCR,1000,1000
TRILIVE,19,OCR,1000,1000
TWIN FOUNTAINS,25,OCR,2012,99
TWIN REGENCY,3,RCR,1000,1000
TWIN WATERFALLS,19,OCR,2011,99
URBAN LOFTS,8,RCR,1000,1000
VACANZA @ EAST,14,OCR,1000,1000
VAUGHAN GARDEN,13,OCR,1000,1000
VILLA DE WEST,5,RCR,1000,1000
VILLA MARINA,15,OCR,1995,99
VILLA MARTIA,15,OCR,1000,1000
VILLAGE @ PASIR PANJANG,5,RCR,1000,1000
VILLAGE TOWER,10,CCR,1000,1000
VIVA,11,CCR,1000,1000
VUE 8 RESIDENCE,18,OCR,2012,99
WANDERVALE,23,OCR,2014,99
WATER PLACE,15,RCR,1998,99
WATERFRONT @ FABER,5,OCR,2013,99
WATERFRONT KEY,16,OCR,2007,99
WATERFRONT WAVES,16,OCR,2007,99
WATERSCAPE AT CAVENAGH,9,CCR,1000,1000
WATERTOWN,19,OCR,2011,99
WATERVIEW,18,OCR,2010,99
WEST PARK REGENCY,5,RCR,1000,1000
WESTMERE,22,OCR,1996,99
WESTVILLE,22,OCR,1994,99
WESTWOOD PARK,22,OCR,1994,99
WESTWOOD RESIDENCES,22,OCR,2014,99
WHITEWATER,18,OCR,2002,99
WILKIE 80,9,CCR,1000,1000
WOLSKEL LODGE,13,OCR,1000,1000
WOODSVALE,25,OCR,1997,99
YISHUN EMERALD,27,OCR,1998,99
ZENITH,10,CCR,1877,999
11 AMBER ROAD,15,RCR,1000,1000
111 EMERALD HILL,9,CCR,1000,1000
38 I SUITES,15,RCR,1000,1000
833 M B RESIDENCES,15,RCR,1000,1000
8@WOODLEIGH,13,RCR,2008,99
8M RESIDENCES,15,RCR,1000,1000
ADAM PARK CONDOMINIUM,11,CCR,1000,1000
ALEGRIA,11,CCR,1000,1000
ALTEZ,2,CCR,2008,99
ALWYN PARK,19,OCR,1000,1000
ARDMORE THREE,10,CCR,1000,1000
ASPEN LOFT,15,RCR,1000,1000
ASTORIA PARK,14,OCR,1993,99
ASTRID MEADOWS,10,CCR,1000,1000
ATRIUM RESIDENCES,14,RCR,1000,1000
ATTITUDE AT KIM YAM,9,CCR,1841,999
AVANT PARC,27,OCR,2011,99
AVILA TERRACE,17,OCR,1000,1000
BARTLEY RIDGE,13,RCR,2012,99
BASSEIN COURT,11,CCR,1000,1000
BEAVERTON COURT,10,CCR,1000,1000
BELGRAVIA PARK,28,OCR,1000,1000
BELLE VUE RESIDENCES,9,CCR,1000,1000
BELMOND GREEN,10,CCR,1000,1000
BISHAN 8,20,RCR,1996,99
BLEU @ EAST COAST,16,OCR,1000,1000
BULLION PARK,26,OCR,1000,1000
CAIRNHILL PLAZA,9,CCR,1000,1000
CAIRNHILL RESIDENCES,9,CCR,1000,1000
CALLIDORA VILLE,15,OCR,1000,1000
CAPITOL PARK,11,CCR,1000,1000
CASA MERAH,16,OCR,2006,99
CASABLANCA,25,OCR,2001,99
CASAFINA,16,OCR,1996,99
CAVENDISH PARK,21,RCR,1991,99
CELADON VIEW,17,OCR,1885,999
CENTENNIA SUITES,9,CCR,1000,1000
CENTRA HEIGHTS,14,RCR,1000,1000
CENTRA STUDIOS,14,RCR,1000,1000
CENTRAL GROVE,14,RCR,1997,99
CENTRAL VIEW,19,OCR,1998,99
CHANGI RISE CONDOMINIUM,18,OCR,2000,99
CHARLTON VILLAS,19,OCR,1000,1000
CHATELET,10,CCR,1000,1000
CHELSEA LODGE,15,RCR,1000,1000
CHERRY GARDENS,19,OCR,1996,99
CHESTERVALE,23,OCR,1997,99
CHIVERTON,10,CCR,1000,1000
CITIGATE RESIDENCE,8,RCR,1000,1000
CITY LOFT,8,RCR,1000,1000
CITY PLAZA,14,RCR,1000,1000
CLAREMONT,9,CCR,1000,1000
CLEMENTIWOODS CONDOMINIUM,5,OCR,2006,99
CLUNY PARK RESIDENCE,10,CCR,1000,1000
COASTAL BREEZE RESIDENCES,17,OCR,2008,99
COASTARINA,15,OCR,1000,1000
COMPASS HEIGHTS,19,OCR,2000,99
CORALIS,15,RCR,1000,1000
CORALS AT KEPPEL BAY,4,RCR,2007,99
COSTA DEL SOL,16,OCR,1997,99
